,coordinates
448,"[51.5444155, -0.076683]"
449,"[51.5436471, -0.0824718]"
450,"[51.5420005, -0.1193529]"
451,"[51.547351, -0.0967272]"
452,"[51.5326959, -0.1078136]"
453,"[51.53715529999999, -0.09358409999999999]"
454,"[51.53883769999999, -0.0890041]"
455,"[51.5299059, -0.092101]"
456,"[51.5455761, -0.0875063]"
457,"[51.53883889999999, -0.0778767]"
458,"[51.5385115, -0.0856033]"
459,"[51.5436542, -0.1020487]"
460,"[51.5297869, -0.0936105]"
461,"[51.5446001, -0.0765356]"
462,"[51.5323518, -0.0865378]"
463,"[51.5356295, -0.07837859999999999]"
464,"[51.53728049999999, -0.0836702]"
465,"[51.5364387, -0.09609890000000001]"
466,"[51.5450124, -0.1079178]"
467,"[51.535625, -0.0887279]"
468,"[51.5340887, -0.08065939999999999]"
469,"[51.53312889999999, -0.1105491]"
470,"[51.5315818, -0.1185706]"
471,"[51.5368091, -0.0980109]"
472,"[51.53971139999999, -0.0875117]"
473,"[51.5427786, -0.0788465]"
474,"[51.5421682, -0.0890709]"
475,"[51.5480197, -0.085293]"
476,"[51.5440793, -0.1089329]"
477,"[51.5444615, -0.1056521]"
478,"[51.5440793, -0.1089329]"
479,"[51.5502907, -0.08297700000000001]"
480,"[51.535325, -0.09670609999999999]"
481,"[51.53706039999999, -0.1099916]"
482,"[51.538971, -0.0780727]"
483,"[51.5406281, -0.1015217]"
484,"[51.53757539999999, -0.1222739]"
485,"[51.5351128, -0.1201485]"
486,"[51.5376752, -0.1036714]"
487,"[51.5320748, -0.1026189]"
488,"[51.5467253, -0.0830498]"
489,"[51.53902249999999, -0.1225686]"
490,"[51.5356619, -0.1093639]"
491,"[51.5321641, -0.1011495]"
492,"[51.5412243, -0.1088425]"
493,"[51.5350537, -0.1086677]"
494,"[51.5347498, -0.09899319999999999]"
495,"[51.54617649999999, -0.0828984]"
496,"[51.532524, -0.09906749999999999]"
497,"[51.5384557, -0.0962833]"
498,"[51.54991949999999, -0.0843525]"
499,"[51.539586, -0.0987841]"
500,"[51.5359686, -0.0863326]"
501,"[51.5359686, -0.0863326]"
502,"[51.5359686, -0.0863326]"
503,"[51.5399781, -0.1066028]"
504,"[51.54317589999999, -0.1127944]"
505,"[51.535325, -0.09670609999999999]"
506,"[51.535325, -0.09670609999999999]"
507,"[51.5359686, -0.0863326]"
508,"[51.5359686, -0.0863326]"
509,"[51.5369553, -0.0788001]"
510,"[51.54803980000001, -0.0855245]"
511,"[51.5359686, -0.0863326]"
512,"[51.5388592, -0.1089976]"
513,"[51.53654359999999, -0.08008509999999999]"
514,"[51.5488255, -0.0807002]"
515,"[51.5359686, -0.0863326]"
516,"[51.5275113, -0.08341549999999999]"
517,"[51.5470196, -0.09517049999999999]"
518,"[51.54711529999999, -0.08983479999999999]"
519,"[51.539415, -0.1183269]"
520,"[51.5418173, -0.0968734]"
521,"[51.5329809, -0.1160027]"
522,"[51.5399702, -0.1057292]"
523,"[51.5376086, -0.0861847]"
524,"[51.53883889999999, -0.0778767]"
525,"[51.5338845, -0.1137532]"
526,"[51.5440683, -0.08300629999999999]"
527,"[51.5359686, -0.0863326]"
528,"[51.5432752, -0.1082458]"
529,"[51.5408277, -0.1066138]"
530,"[51.54713, -0.0951586]"
531,"[51.5307978, -0.0985596]"
532,"[51.5445504, -0.09834319999999999]"
533,"[51.5400848, -0.0963831]"
534,"[51.5404114, -0.09581819999999999]"
535,"[51.5429164, -0.1110931]"
536,"[51.5395957, -0.1120737]"
537,"[51.5339892, -0.0910339]"
538,"[51.54270820000001, -0.1097793]"
539,"[51.5395603, -0.1057423]"
540,"[51.5436844, -0.0775792]"
541,"[51.54341609999999, -0.0777273]"
542,"[51.53273009999999, -0.09505]"
543,"[51.52945080000001, -0.0809454]"
544,"[51.5316454, -0.0924619]"
545,"[51.5367215, -0.0774662]"
546,"[51.5319802, -0.1075213]"
547,"[51.5380113, -0.0817585]"
548,"[51.5305613, -0.0852129]"
549,"[51.532654, -0.0907529]"
550,"[51.5316367, -0.1075701]"
551,"[51.5437909, -0.1099329]"
552,"[51.5320378, -0.0907968]"
553,"[51.5492295, -0.08627159999999999]"
554,"[51.4688804, -0.1049389]"
555,"[51.5327139, -0.08214030000000001]"
556,"[51.5404191, -0.1018938]"
557,"[51.5364387, -0.09609890000000001]"
558,"[51.535325, -0.09670609999999999]"
559,"[51.53273009999999, -0.09505]"
560,"[51.54635589999999, -0.08214529999999999]"
561,"[51.530184, -0.08616]"
562,"[51.5318236, -0.09031539999999999]"
563,"[51.535325, -0.09670609999999999]"
564,"[51.5369182, -0.119528]"
565,"[51.535625, -0.0887279]"
566,"[51.535332, -0.07973709999999999]"
567,"[51.535325, -0.09670609999999999]"
568,"[51.535325, -0.09670609999999999]"
569,"[51.5350704, -0.0849127]"
570,"[51.5351128, -0.1201485]"
571,"[51.535325, -0.09670609999999999]"
572,"[51.535325, -0.09670609999999999]"
573,"[51.535325, -0.09670609999999999]"
574,"[51.535325, -0.09670609999999999]"
575,"[51.5356602, -0.0955314]"
576,"[51.535325, -0.09670609999999999]"
577,"[51.535325, -0.09670609999999999]"
578,"[51.535325, -0.09670609999999999]"
579,"[51.535325, -0.09670609999999999]"
580,"[51.535325, -0.09670609999999999]"
581,"[51.535325, -0.09670609999999999]"
582,"[51.535325, -0.09670609999999999]"
583,"[51.535325, -0.09670609999999999]"
584,"[51.535325, -0.09670609999999999]"
585,"[51.5316012, -0.0959337]"
586,"[51.535325, -0.09670609999999999]"
587,"[51.5355058, -0.0954265]"
588,"[51.5303767, -0.0909155]"
589,"[51.5326959, -0.1078136]"
590,"[51.5369585, -0.09092259999999999]"
591,"[51.5350305, -0.1035624]"
592,"[51.5430557, -0.1018034]"
593,"[51.5415028, -0.1051994]"
594,"[51.5423432, -0.08813159999999999]"
595,"[51.5327144, -0.0899562]"
596,"[51.5388324, -0.0776336]"
597,"[51.5359066, -0.0966124]"
598,"[51.5307333, -0.08001599999999999]"
599,"[51.541857, -0.1115835]"
600,"[51.5348486, -0.0979838]"
601,"[51.5317173, -0.079635]"
602,"[51.5317173, -0.079635]"
603,"[51.5317173, -0.079635]"
604,"[51.5317173, -0.079635]"
605,"[51.5317173, -0.079635]"
606,"[51.5317173, -0.079635]"
607,"[51.5317173, -0.079635]"
608,"[51.5316935, -0.0944911]"
609,"[51.5368842, -0.0963792]"
610,"[51.5297869, -0.0936105]"
611,"[51.53273009999999, -0.09505]"
612,"[51.5334929, -0.0946834]"
613,"[51.5449856, -0.07640519999999999]"
614,"[51.5350704, -0.0849127]"
615,"[51.5331491, -0.1006893]"
616,"[51.5385437, -0.0856869]"
617,"[51.5359686, -0.0863326]"
618,"[51.5359686, -0.0863326]"
619,"[51.5359686, -0.0863326]"
620,"[51.5408669, -0.07717489999999999]"
621,"[51.5359686, -0.0863326]"
622,"[51.5359686, -0.0863326]"
623,"[51.5359686, -0.0863326]"
624,"[51.5359686, -0.0863326]"
625,"[51.5359686, -0.0863326]"
626,"[51.5359686, -0.0863326]"
627,"[51.5359686, -0.0863326]"
628,"[51.5387239, -0.1158996]"
629,"[51.5341232, -0.1047785]"
630,"[51.5462603, -0.095279]"
631,"[51.535325, -0.09670609999999999]"
632,"[51.5420244, -0.0850398]"
633,"[51.5335857, -0.102635]"
634,"[51.536138, -0.0944391]"
635,"[51.5377082, -0.0887019]"
636,"[51.5441887, -0.08705059999999999]"
637,"[51.534672, -0.0953159]"
638,"[51.5360044, -0.1002172]"
639,"[51.5368657, -0.0894992]"
640,"[51.536052, -0.0901954]"
641,"[51.541857, -0.1115835]"
642,"[51.5348118, -0.09783560000000001]"
643,"[51.5384699, -0.0932833]"
644,"[51.531022, -0.1080691]"
645,"[51.54766919999999, -0.0907077]"
646,"[51.5312588, -0.1083781]"
647,"[51.5378465, -0.1160692]"
648,"[51.5335578, -0.1215667]"
649,"[51.53654359999999, -0.08008509999999999]"
650,"[51.5480197, -0.085293]"
651,"[51.5359686, -0.0863326]"
652,"[51.534446, -0.09816549999999999]"
653,"[51.5479883, -0.0873569]"
654,"[51.54170449999999, -0.1121816]"
655,"[51.5359686, -0.0863326]"
656,"[51.5359686, -0.0863326]"
657,"[51.5359686, -0.0863326]"
658,"[51.5360216, -0.0772273]"
659,"[51.5383376, -0.0859677]"
660,"[51.5504544, -0.0837627]"
661,"[51.5414912, -0.0899912]"
662,"[51.5483377, -0.0878467]"
663,"[51.5302512, -0.0850244]"
664,"[51.54713, -0.0951586]"
665,"[51.5474621, -0.0823962]"
666,"[51.5359686, -0.0863326]"
667,"[51.5462475, -0.07999089999999999]"
668,"[51.5359686, -0.0863326]"
669,"[51.5359686, -0.0863326]"
670,"[51.53137830000001, -0.0952661]"
671,"[51.5359686, -0.0863326]"
672,"[51.54345929999999, -0.0844936]"
673,"[51.5359686, -0.0863326]"
674,"[51.5359686, -0.0863326]"
675,"[51.5359686, -0.0863326]"
676,"[51.5359686, -0.0863326]"
677,"[51.5359686, -0.0863326]"
678,"[51.540592, -0.1019304]"
679,"[51.5338922, -0.08281519999999999]"
680,"[51.5484726, -0.0872549]"
681,"[51.5336231, -0.08889160000000002]"
682,"[51.5396118, -0.1147692]"
683,"[51.5440615, -0.0961717]"
684,"[51.53276630000001, -0.1039387]"
685,"[51.53281279999999, -0.103]"
686,"[51.54436219999999, -0.09720229999999999]"
687,"[51.54536909999999, -0.1038346]"
688,"[51.5472765, -0.09392579999999999]"
689,"[51.540188, -0.1145114]"
690,"[51.5426716, -0.1015666]"
691,"[51.5399702, -0.1057292]"
692,"[51.5448251, -0.094537]"
693,"[51.5421359, -0.1000668]"
694,"[51.5379328, -0.1029584]"
695,"[51.5421546, -0.1186715]"
696,"[51.54405149999999, -0.081218]"
697,"[51.5394307, -0.092429]"
698,"[51.54692259999999, -0.080036]"
699,"[51.5396814, -0.0897137]"
700,"[51.5421567, -0.08732369999999999]"
701,"[51.5310239, -0.09829289999999999]"
702,"[51.5391443, -0.0866506]"
703,"[51.5317884, -0.0988004]"
704,"[51.5465063, -0.1058058]"
705,"[51.5432936, -0.1004101]"
706,"[51.5434052, -0.0909835]"
707,"[51.5314821, -0.1155598]"
